"net_id","net_lakes_n","net_averagelakedistance_km","net_averagelakearea_ha","net_dams_n","net_avgorder","net_maxorder","net_minorder","net_rangeorder","vertices_count","edges_count","artic_count","max_cliques","mean_degree_norm","far_vert_1","far_vert_2","far_vert_dist","edge_conn","edge_dens","min_cut","far_min_cut","strength","minlat_id","maxlat_id","minlon_id","maxlon_id","maxkmNS","maxkmEW","min_cut_lat","min_cut_lon","maxlon_dist","maxlat_dist","latavg","lonavg"
712,3,12.146,878.149,0,1,2,0,2,3,2,1,2,0.666666667,467387,467379,24.293,1,0.666666667,1,1,16.19533333,467379,467387,467379,467381,9.864170504,12.61902663,1,1,0.156520175,0.08920877,43.59407818,-121.9900842
583,2,0.317,6.891,0,2,2,2,0,2,1,0,1,1,468524,468302,0.317,1,1,1,1,0.317,468302,468524,468524,468302,0.621201111,0.474317967,1,1,0.005917635,0.005617967,43.94309755,-121.9115315
292,3,0.808,5.127,0,1,1,1,0,3,2,1,2,0.666666667,469442,468714,1.615,1,0.666666667,1,1,1.076666667,469442,468714,468714,469442,0.742626552,1.848714714,1,1,0.023061215,0.006716105,43.93401851,-121.9464668
118,28,95.114,91.461,31,1,5,0,5,28,220,4,6,0.582010582,470203,469894,337.058,1,0.582010582,1,3,1494.641357,470040,470390,469894,470080,82.27943894,111.8888331,1,3,1.362461649,0.744111988,42.46181737,-123.3292603
145,23,120.244,79.087,21,1,4,0,4,23,70,7,11,0.276679842,469961,470083,340.92,1,0.276679842,1,1,731.9184348,470146,470085,470085,470083,72.48363013,148.1923709,10,1,1.832797119,0.655521462,43.41830691,-123.6354735
660,6,6.836,27.033,0,2,2,0,2,6,8,1,3,0.533333333,469832,469585,15.816,1,0.533333333,1,1,18.23,469585,470331,469585,469832,14.17210697,6.412931404,1,1,0.078716088,0.128168529,42.95831476,-124.4684788
478,6,89.588,39.896,2,1,3,1,2,6,8,2,3,0.533333333,470228,469800,180.352,1,0.533333333,1,1,238.9016667,469800,469646,469994,469800,36.21728477,66.64805599,3,1,0.831322791,0.327538886,43.92964773,-123.4121915
456,2,0.426,16.409,0,2,2,1,1,2,1,0,1,1,469743,469496,0.426,1,1,1,1,0.426,469743,469496,469743,469496,1.137617607,0.142047492,1,1,0.001824707,0.010288292,45.62839485,-123.9393295
544,10,80.877,45.049,0,1,3,1,2,10,37,1,2,0.822222222,470088,470256,152.093,1,0.822222222,1,8,598.4894,470256,470088,470087,470256,21.22125907,56.01268878,8,8,0.75187375,0.191919068,47.99273965,-124.1361332
579,2,38.055,11.844,1,2,3,1,2,2,1,0,1,1,469530,470396,38.055,1,1,1,1,38.055,470396,469530,469530,470396,13.09748731,5.611004506,1,1,0.072529523,0.118449973,45.97663393,-123.3305263
508,2,1.603,784.757,1,3,4,2,2,2,1,0,1,1,469967,469579,1.603,1,1,1,1,1.603,469967,469579,469579,469967,4.382515447,0.833243642,1,1,0.010387321,0.039634231,43.89555222,-124.095191
876,2,12.692,1514.373,0,2,3,0,3,2,1,0,1,1,469712,469580,12.692,1,1,1,1,12.692,469580,469712,469580,469712,12.58062474,4.420879442,1,1,0.059525836,0.113775614,48.15151874,-124.6074251
460,6,7.584,160.467,2,2,4,0,4,6,8,2,3,0.533333333,469598,469983,16.955,1,0.533333333,1,1,20.22366667,469983,469598,469983,469966,9.687547247,7.222736074,1,3,0.08955293,0.087611439,43.57101524,-124.1967955
371,16,121.117,68.922,17,1,3,0,3,16,106,1,2,0.883333333,469828,470435,251.492,1,0.883333333,1,14,1604.798,469693,469828,469633,470435,91.36102226,96.55239964,14,14,1.267622479,0.82624326,46.82435848,-123.1565962
369,6,25.083,11.394,4,1,2,0,2,6,11,1,2,0.733333333,470223,469837,36.899,1,0.733333333,1,1,91.972,470223,469721,470335,470106,23.22325998,17.04564572,4,4,0.21077138,0.210024599,43.40690906,-124.2060371
674,2,12.054,15.285,1,2,2,1,1,2,1,0,1,1,469740,469732,12.054,1,1,1,1,12.054,469740,469732,469732,469740,2.805724768,6.690896599,1,1,0.088331377,0.025374182,47.12094833,-124.003063
722,3,86.014,6.822,2,1,2,1,1,3,3,0,1,1,469761,470091,122.056,2,1,2,2,172.028,469761,470348,470091,469761,11.29299746,57.05291973,2,2,0.702202101,0.102130677,43.12446149,-123.9100599
655,2,80.039,48.18,2,2,3,1,2,2,1,0,1,1,469888,469971,80.039,1,1,1,1,80.039,469888,469971,469888,469971,7.948019812,24.34519033,1,1,0.311518313,0.071879645,45.40951336,-123.5482232
503,2,1.715,2.094,0,1,1,1,0,2,1,0,1,1,469977,470332,1.715,1,1,1,1,1.715,470332,469977,469977,470332,0.333307836,0.053230977,1,1,0.000655829,0.003014342,43.18678528,-124.3860864
260,2,0.844,93.955,0,2,2,2,0,2,1,0,1,1,470104,470324,0.844,1,1,1,1,0.844,470324,470104,470104,470324,0.654508505,2.169676873,1,1,0.027119368,0.00591919,44.05320402,-124.0814535
854,2,1.653,2.789,0,1,1,1,0,2,1,0,1,1,470357,470113,1.653,1,1,1,1,1.653,470357,470113,470357,470113,1.94813928,0.014188216,1,1,0.000184711,0.017618421,46.36810925,-124.0473501
